DATE,CC,HU,TG,PP,FG
102,4.366666666666666,62.13333333333333,138.7,10160.266666666666,32.93333333333333
103,5.766666666666667,69.56666666666666,143.23333333333332,10179.9,36.36666666666667
104,3.933333333333333,68.0,218.46666666666667,10167.966666666667,27.7
105,4.833333333333333,65.16666666666667,202.9,10123.3,31.466666666666665
106,3.8333333333333335,69.46666666666667,176.76666666666668,10155.4,32.9
107,4.433333333333334,77.16666666666667,152.53333333333333,10147.466666666667,33.43333333333333
108,5.066666666666666,77.96666666666667,88.1,10185.2,39.8
109,6.666666666666667,87.66666666666667,54.13333333333333,10184.7,27.1
110,5.933333333333334,82.06666666666666,30.433333333333334,10284.366666666669,34.63333333333333
111,6.133333333333334,76.76666666666667,40.9,10174.566666666668,45.5
112,5.066666666666666,75.13333333333334,64.86666666666666,10153.6,38.06666666666667
113,4.2,62.2,88.0,10155.2,42.5
114,3.2666666666666666,52.766666666666666,146.5,10156.2,43.766666666666666
115,4.566666666666666,64.53333333333333,179.86666666666667,10112.033333333333,36.13333333333333
116,5.3,66.63333333333334,192.2333333333333,10107.933333333332,34.5
117,3.733333333333333,66.93333333333334,207.26666666666668,10139.266666666666,30.4
118,5.666666666666667,80.6,169.86666666666667,10152.533333333333,30.366666666666667
119,4.966666666666667,80.86666666666666,136.9,10188.966666666667,25.933333333333334
120,5.866666666666666,85.13333333333334,67.3,10237.033333333333,30.366666666666667
121,7.1,86.1,25.866666666666667,10152.566666666668,39.6
